UA,State,UA Number,Census Division,Census Division 2,Census Division 3,Total Number of Census Divisions,Weight Factor - 1st,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck  - 300 mi,Transit Bus,MDV Truck,HDV Truck
Camarillo,CA,34,9,0,0,1,1,22547919.69,48513755.44,111856168.7,60031521.83,82800670.62,100154456.4,296373.7248,25915.31039,18301.04844
Chico,CA,35,9,0,0,1,1,19951350.46,42927017.22,98975056.34,53118422.76,73265526.06,88620887.78,262243.9734,22930.95979,16193.53963
Concord,CA,36,9,0,0,1,1,197080498.8,424035354.7,977680860.1,524706599.6,723720755.3,875401833.4,2590459.889,226513.238,159960.644
Davis,CA,37,9,0,0,1,1,13459072.84,28958333.07,66768036.37,35833399.99,49424526.63,59783170.39,176908.3626,15469.10114,10924.07403
Delano,CA,38,9,0,0,1,1,0,0,0,0,0,0,0,0,0
El Centro--Calexico,CA,39,9,0,0,1,1,5184317.903,11154498.26,25718467.41,13802714.29,19037898.17,23027957.73,68143.56396,5958.563338,4207.85839
El Paso de Robles (Paso Robles)--Atascadero,CA,40,9,0,0,1,1,46310385.32,99640680.41,229737380,123296625.5,170061377.2,205703705.8,466073.9123,38080.95713,52761.21029
Fairfield,CA,41,9,0,0,1,1,51775691.5,111399777.4,256849880.6,137847464.3,190131153.4,229979807.9,680548.572,59508.067,42023.80756
Fresno,CA,42,9,0,0,1,1,165479580.5,356043307.3,820914395.5,440572398,607675582.7,735035323.1,2175091.996,190192.9202,134311.7174
Gilroy--Morgan Hill,CA,43,9,0,0,1,1,32223674.29,69331959.47,159855844.6,85792225.33,118332062.5,143132698.2,423553.5034,37036.07839,26154.38729
Hanford,CA,44,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Hemet,CA,45,9,0,0,1,1,18537639.22,39885297.98,91961889.52,49354561.71,68074083.12,82341395.82,243661.9104,21306.11963,15046.09906
Indio--Cathedral City,CA,46,9,0,0,1,1,95590956.1,205672023.4,474209517.1,254501109,351029956.6,424600600.9,1256463.927,109866.8672,77586.52424
Lancaster--Palmdale,CA,47,9,0,0,1,1,77819329.36,167434866.1,386047677.5,207185977,285768831.3,345661716.9,1022870.616,89441.1592,63162.16021
Livermore,CA,48,9,0,0,1,1,35263244.29,75871851.28,174934603.9,93884768.45,129493998.3,156634009.4,463506.1328,40529.58914,28621.45824
Lodi,CA,49,9,0,0,1,1,17300829.34,37224196.97,85826298.46,46061682.35,63532258.92,76847673,227405.0691,19884.59994,14042.24071
Lompoc,CA,50,9,0,0,1,1,6254809.498,13457751.43,31028983.42,16652788.29,22968966.9,27782919.85,82214.28915,7188.926153,5076.724291
Los Angeles--Long Beach--Anaheim,CA,51,9,0,0,1,1,3673522984,7903895265,18223685916,9780377891,13489943676,16317234707,48285416.35,4222140.653,2981619.723
Madera,CA,52,9,0,0,1,1,29300835.08,63043206.74,145356105.7,78010452.82,107598768.3,130149865.6,653024.4438,44413.00818,47044.4494
Manteca,CA,53,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Merced,CA,54,9,0,0,1,1,29306259,63054893.82,145383072.8,78024906.55,107618704.1,130173979.7,385206.4962,33682.96538,23786.46335
Mission Viejo--Lake Forest--San Clemente,CA,55,9,0,0,1,1,170539610.4,366930389.5,846016292.8,454044208.4,626257069.6,757511212.6,2241601.898,196008.634,138418.6973
Modesto,CA,56,9,0,0,1,1,77802013.26,167397609,385961775.5,207139874.6,285705242.9,345584801.4,1022643.01,89421.25704,63148.10557
Murrieta--Temecula--Menifee,CA,57,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Napa,CA,58,9,0,0,1,1,16197322.36,34849908.4,80351999.06,43123708.27,59479950.79,71946061.51,212900.384,18616.29109,13146.57783
Oxnard,CA,59,9,0,0,1,1,104844140.6,225581032.1,520112898.8,279136763,385009582.7,465701849.9,1378089.371,120501.9569,85096.88351
Petaluma,CA,60,9,0,0,1,1,6938973.641,14929788.42,34422998.51,18474305.09,25481360.53,30821873.72,91207.06002,7975.265929,5632.02701
Porterville,CA,61,9,0,0,1,1,68538667.5,147466699,340007850.3,182477137.8,251688261.8,304438368.2,331426.989,48291.71579,19842.07972
Redding,CA,62,9,0,0,1,1,39598745.56,85200048.8,196442244.9,105427595.6,145414864.6,175891651.7,520492.7054,45512.57039,32140.3735
Riverside--San Bernardino,CA,63,9,0,0,1,1,604420651.7,1300462131,2998421996,1609207947,2219558877,2684745319,7944608.743,694687.0935,490578.8106
Sacramento,CA,64,9,0,0,1,1,474243407.3,1020374784,2352636131,1262624395,1741520845,2106517645,6233536.708,545068.6922,384920.2803
Salinas,CA,65,9,0,0,1,1,35601599.72,76599829.5,176613046.6,94785588.09,130736486.8,158136904.8,270031.8732,24709.9149,16419.95948
San Diego,CA,66,9,0,0,1,1,37830150.34,81394766.66,187668562.5,100718892.3,138920213.5,168035818.7,497245.9863,43479.84654,30704.89088
San Francisco--Oakland,CA,67,9,0,0,1,1,23757371,51115978.93,117855992.2,63251551.63,87242014.4,105526639.7,229286.197,25202.60739,9873.776614
San Jose,CA,68,9,0,0,1,1,245244551.2,527664239.6,1216613538,652938333.6,900589061.3,1089339099,6942233.307,1068372.178,332339.0272
San Luis Obispo,CA,69,9,0,0,1,1,20763942.97,44675366.63,103006139,55281857.65,76249522.69,92230285.61,462763.6815,31473.13606,33337.89846
Santa Barbara,CA,70,9,0,0,1,1,893079591.6,1921536243,4430407008,2377732746,3279574795,3966924767,11738791.37,1026455.44,724869.2158
Santa Clarita,CA,71,9,0,0,1,1,907906692,1953438003,4503961583,2417208379,3334023005,4032784509,11933681.32,1043496.875,736903.6512
Santa Cruz,CA,72,9,0,0,1,1,488143869.6,1050282804,2421593821,1299632949,1792566246,2168261401,6416246.77,561045.1016,396202.6087
Santa Maria,CA,73,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Santa Rosa,CA,74,9,0,0,1,1,58322912.47,125486676.9,289329464.7,155278768.1,214173916.3,259061575.4,766606.3676,67033.07445,47337.868
Seaside--Monterey,CA,75,9,0,0,1,1,79774087.91,171640694.3,395744882.6,212390321,292947113,354344459.4,1048564.298,91687.8487,64748.74254
Simi Valley,CA,76,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Stockton,CA,77,9,0,0,1,1,98231886.56,211354208.6,487310697.4,261532315.3,360728004.8,436331215.4,1291176.77,112902.2041,79730.03889
Thousand Oaks,CA,78,9,0,0,1,1,84790143.11,182433161.2,420628629.1,225745053.1,311367115.4,376625019.6,1114496.188,97453.02036,68820.03029
Tracy,CA,79,9,0,0,1,1,3987323.456,8579063.509,19780393.54,10615839.44,14642284.55,17711089.05,52410.06359,4582.805261,3236.316286
Turlock,CA,80,9,0,0,1,1,7901322.866,17000364.13,39197039.69,21036461.13,29015307.89,35096483.74,103856.3433,9081.335989,6413.119014
Vacaville,CA,81,9,0,0,1,1,26649294.88,57338210.89,132202352.3,70951012.29,97861776.94,118372146.1,350282.9039,30629.20029,21629.93496
Vallejo,CA,82,9,0,0,1,1,45080405.02,96994302.57,223635770.2,120021951.3,165544663.1,200240355.8,592544.5779,51812.88139,36589.56956
Victorville--Hesperia,CA,83,9,0,0,1,1,70851376.62,152442726.7,351480919,188634518,260181053.5,314711122.4,931282.65,81432.58632,57506.61228
Visalia,CA,84,9,0,0,1,1,31191358.38,67110844.51,154734711.3,83043790.17,114541182.8,138547306.7,409984.5659,35849.59255,25316.50673
Watsonville,CA,85,9,0,0,1,1,12670827.85,27262357.33,62857694.94,33734778.61,46529926.39,56281905.11,166547.5352,14563.1367,10284.29396
Woodland,CA,86,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Yuba City,CA,87,9,0,0,1,1,24416126.2,52533359.69,121124004.7,65005429.9,89661115.12,108452747.8,320929.7517,28062.52185,19817.38069
Boulder,CO,88,8,0,0,1,1,27519760.83,59211075.64,136520519.7,73268526.01,101058292.4,122238603.5,430680.0995,17050.13985,18305.73679
Colorado Springs,CO,89,8,0,0,1,1,148181513,318824964.7,735101489.1,394518001.3,544153372.8,658199805.3,2319018.292,91807.32115,98568.14495
Denver--Aurora,CO,90,8,0,0,1,1,686965965.7,1478064944,3407912998,1828976059,2522682078,3051398623,10750913.58,425616.5546,456959.5728
Fort Collins,CO,91,8,0,0,1,1,71620472.83,154097459.6,355296117.2,190682125,263005290.3,318127277.2,1120849.58,44373.1719,47640.8764
Grand Junction,CO,92,8,0,0,1,1,27306621.83,58752489.18,135463175.9,72701065.38,100275601.6,121291872.4,427344.5063,16918.08748,18163.95989
Greeley,CO,93,8,0,0,1,1,26795667.59,57653128.23,132928425,71340702.39,98399271.25,119022291.2,419348.1496,16601.52072,17824.0807
Lafayette--Louisville--Erie,CO,94,8,0,0,1,1,19037753.16,40961324.1,94442824.98,50686055.06,69910594,84562811.99,297937.9609,11795.02816,12663.63108
Longmont,CO,95,8,0,0,1,1,16748644.36,36036114.35,83086973.27,44591538.88,61504509.81,74394937.9,262113.754,10376.78817,11140.94985
Pueblo,CO,96,8,0,0,1,1,39230219.93,84407111.45,194613973.8,104446416,144061536.8,174254686.6,613947.0152,24305.47054,26095.36052
Hartford,CT,97,1,0,0,1,1,329446511,708831835.4,1634324158,877117378.9,1209796203,1463351447,1745780.279,191064.7102,96837.1085
New Haven,CT,98,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Waterbury,CT,99,1,0,0,1,1,50193697.53,107995955.5,249001794.4,133635546.1,184321711.3,222952793.3,265982.9876,29110.171,14753.87467
Bridgeport--Stamford,CT--NY,100,1,2,0,2,0.5,295932368.1,636723342.3,1468066596,787889427.7,1086725290,1314486706,1568184.439,171627.9586,86986.00191
Danbury,CT--NY,101,1,2,0,2,0.5,53558411.75,115235420.7,265693529.1,142593750.9,196677642.7,237898343.7,283813.0497,31061.55955,15742.89469
Norwich--New London,CT--RI,102,1,0,0,1,1,88479483.28,190371038.8,438930606.7,235567504.5,324915090.4,393012448.2,468864.3886,51314.26882,26007.55217
Washington,DC--VA--MD,103,5,0,0,1,1,1693696501,3644130264,8402119982,4509292365,6219606307,7523143042,952792.159,1931243.95,1443744.991
Dover,DE,104,5,0,0,1,1,20318847.12,43717706.01,100798101.2,54096836.19,74615038.53,90253237.95,326359.8695,24175.97594,5271.378045
Bonita Springs,FL,105,5,0,0,1,1,109748320.7,236132728.9,544441437.7,292193592,403018691.4,487485399.3,1698263.703,114061.7029,83911.60644
Cape Coral,FL,106,5,0,0,1,1,174956491.5,376433584.9,867927301.4,465803626,642476676.1,777130206.7,2707305.746,181832.7172,133768.6096
Deltona,FL,107,5,0,0,1,1,50894366.18,109503503.1,252477684.7,135501004.3,186894712.7,226065057.5,787547.8572,52894.64147,38912.92368
Fort Walton Beach--Navarre--Wright,FL,108,5,0,0,1,1,68731257.62,147881073,340963255.7,182989889.3,252395493,305293824.6,1063558.871,71432.56714,52550.69239
Gainesville,FL,109,5,0,0,1,1,56523122.2,121614244.4,280400918.5,150486987.1,207564677.1,251067138.2,874648.1607,58744.62161,43216.57003
Homosassa Springs--Beverly Hills--Citrus Springs,FL,110,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Jacksonville,FL,111,5,0,0,1,1,424951728.3,914319332.3,2108108156,1131390177,1560511254,1887571142,6575773.472,441653.3891,324910.504
Kissimmee,FL,112,5,0,0,1,1,91105166.81,196020417.7,451956145.7,242558116.5,334557147.5,404675336.7,1409776.45,94685.82666,69657.38388
Lady Lake--The Villages,FL,113,5,0,0,1,1,25405273.73,54661580.05,126030937.6,67638922.8,93293456.45,112846373.7,393125.4162,26403.76423,19424.41869
Lakeland,FL,114,5,0,0,1,1,89112090.83,191732147.4,442068858.7,237251757.1,327238157.4,395822395.4,1378935.262,92614.41784,68133.51357
Leesburg--Eustis--Tavares,FL,115,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Miami,FL,116,5,0,0,1,1,1700174236,3658067656,8434254848,4526538668,6243393901,7551916161,26308777.91,1766995.316,1299922.865
North Port--Port Charlotte,FL,117,5,0,0,1,1,61974383.6,133343091.1,307443633.8,165000408.7,227582844.4,275280814.8,959001.8831,64410.13116,47384.50716
Ocala,FL,118,5,0,0,1,1,62641935.29,134779384.7,310755236.2,166777696.2,230034233.2,278245978.2,969331.6886,65103.91929,47894.90527
Orlando,FL,119,5,0,0,1,1,558996108.3,1202727073,2773077921,1488269523,2052750135,2482975952,8649998.423,580966.0469,427398.4436
Palm Bay--Melbourne,FL,120,5,0,0,1,1,181696813.3,390935953.4,901364810.7,483749038.1,667228541.6,807069694.2,2811606.603,188837.9504,138922.1393
Palm Coast--Daytona Beach--Port Orange,FL,121,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Panama City,FL,122,5,0,0,1,1,57396713.7,123493849.9,284734646.9,152812834.4,210772687,254947499.2,888166.2603,59652.54743,43884.50249
Port St. Lucie,FL,123,5,0,0,1,1,25581884.42,55041573.82,126907074.8,68109131.35,93942008.78,113630852.9,438882.1563,16233.65145,17002.80686
Sarasota--Bradenton,FL,124,5,0,0,1,1,34578522.75,74398615.02,171537823.7,92061767.65,126979557.9,153592579.7,454506.0355,39742.60873,28065.70311
Sebastian--Vero Beach South--Florida Ridge,FL,125,5,0,0,1,1,19700766.47,42387852.36,97731911.35,52451259.23,72345316.37,87507815.86,893530.1303,45702.36515,44010.22727
Sebring--Avon Park,FL,126,5,0,0,1,1,97367564.83,209494493,483022762.1,259231105.7,357553977.4,432491959.2,2794782.474,83122.48614,80825.5713
Spring Hill,FL,127,5,0,0,1,1,34275989.96,73747670.17,170036942.9,91256289.81,125868573.1,152248749.1,630931.0402,61307.18275,39338.76234
St. Augustine,FL,128,5,0,0,1,1,53238058.59,114546156.3,264104323.6,141740845.4,195501241.7,236475386.6,749428.5438,63048.72031,58347.41
Tallahassee,FL,129,5,0,0,1,1,85770415.44,184542252.1,425491415.4,228354890.8,314966829.4,380979180,1327225.624,89141.40628,65578.52823
Tampa--St. Petersburg,FL,130,5,0,0,1,1,822029444.4,1768665386,4077938413,2188568669,3018663329,3651330148,12720219.86,854337.2479,628509.036
Titusville,FL,131,5,0,0,1,1,19294513.51,41513766.24,95716568.73,51369653.55,70853472.21,85703303.41,298566.4999,20052.83593,14752.24053
Winter Haven,FL,132,5,0,0,1,1,71689130.99,154245186,355636726.9,190864922.3,263257420.1,318432249.7,1109329.494,74506.6923,54812.22956
Zephyrhills,FL,133,5,0,0,1,1,16256757.53,34977779.11,80646814.34,43281941.34,59698199.53,72210051.92,251559.7602,16895.68857,12429.62654
Pensacola,FL--AL,134,5,6,0,2,0.5,159384343.1,342928799.8,790676708.2,424344385.8,585292503.8,707961084.7,2466339.74,165648.5446,121862.423
Albany,GA,135,5,0,0,1,1,38109143.74,81995023.3,189052523.9,101461667.3,139944713,169275038,1093862.902,32533.69619,31634.69601
Atlanta,GA,136,5,0,0,1,1,1752542305,3770741953,8694043302,4665963253,6435700356,7784527181,50303964.44,1496141.695,1454798.97
Brunswick,GA,137,5,0,0,1,1,24561026.78,52845111.83,121842782.2,65391202.3,90193205.8,109096356.8,704985.5597,20967.69711,20388.29896
Cartersville,GA,138,5,0,0,1,1,0,0,0,0,0,0,0,0,0
Dalton,GA,139,5,0,0,1,1,30814233.24,66299410.69,152863801,82039719.98,113156282.3,136872151.7,884473.9946,26306.04637,25579.13418
Gainesville,GA,140,5,0,0,1,1,45415542.24,97715353.27,225298236.6,120914200.2,166775330.1,201728952.3,1303581.554,38771.15328,37699.79411
Hinesville,GA,141,5,0,0,1,1,11386050.37,24498043.6,56484122.89,30314185.55,41811948.39,50575109.26,326818.6287,9720.247347,9451.648783
Macon,GA,142,5,0,0,1,1,150139021.3,323036709.9,744812337.2,399729666.7,551341752.7,666894762.5,3346131.625,227574.5918,241058.2351
Rome,GA,143,5,0,0,1,1,28225253.71,60729003.8,140020344.9,75146828.83,103649010.3,125372297.2,810161.418,24095.83997,23430.00218
Savannah,GA,144,5,0,0,1,1,32162544.8,69200416.22,159552529,85629460.53,118107563.2,142861147.2,2174603.392,35517.09488,22167.50331
Valdosta,GA,145,5,0,0,1,1,30773516.99,66211806.27,152661815.1,81931317.17,113006763.8,136691296.3,883305.2989,26271.28699,25545.33531
Warner Robins,GA,146,5,0,0,1,1,32304318.88,69505455.09,160255844.6,86006919.42,118628187.1,143490886.2,927244.5542,27578.12936,26816.06584
Columbus,GA--AL,147,5,6,0,2,0.5,83977657.34,180684982.5,416597868.9,223581857.1,308383448.3,373016020.4,2410446.285,71691.55016,69710.50516
Kahului,HI,148,9,0,0,1,1,0,0,0,0,0,0,0,0,0
Kailua (Honolulu County)--Kaneohe,HI,149,9,0,0,1,1,29998224.6,64543716.32,148815789.5,79867193.95,110159746.4,133247586.5,472003.9087,24303.97986,1345.850844
Urban Honolulu,HI,150,9,0,0,1,1,188877406.9,406385708.9,936986798.5,502866709.3,693597288.4,838964937.1,2971871.686,153024.8125,8473.862066
Ames,IA,151,4,0,0,1,1,9395895.803,20216058.58,46611327.25,25015603.89,34503685.97,41735144.03,385063.6116,13745.88717,9218.219643
Cedar Rapids,IA,152,4,0,0,1,1,46566033.45,100190730.1,231005608.1,123977263.2,171000171.6,206839257.7,1908374.187,68124.57856,45685.4709
Des Moines,IA,153,4,0,0,1,1,128832082.2,277193040,639112488.1,343002136.7,473098233.6,572252568.5,5279810.239,188477.1078,126395.8707
Iowa City,IA,154,4,0,0,1,1,23926060.1,51478926.84,118692825.1,63700668.31,87861475,106275930,980540.3664,35003.04064,23473.61889
Waterloo,IA,155,4,0,0,1,1,29659176.75,63814208.57,147133772.3,78964500.31,108914673.2,131741564.5,1215495.569,43390.40211,29098.32244
Davenport,IA--IL,156,4,3,0,2,0.5,77867899.98,167539323.6,386288465.1,207315255.7,285947143.8,345877401,3191190.645,113918.1819,76395.41989
Dubuque,IA--IL,157,4,3,0,2,0.5,14737933.47,31709901.08,73112202.88,39238228.44,54120760.71,65463665.1,603991.5735,21561.11295,14459.23951
Sioux City,IA--NE--SD,158,4,0,0,1,1,12551065.95,27004672.48,62263553.12,33415919.47,46090128.27,55749931.85,888802.7627,17665.63597,10030.13522
Boise City,ID,159,8,0,0,1,1,91889989.67,197709033.7,455849522.2,244647629.3,337439184.5,408161405.7,1521914.983,81256.34257,112583.8007
Coeur dAlene,ID,160,8,0,0,1,1,29253341.16,62941021.5,145120503.8,77884006.63,107424362.8,129938907.3,484504.3337,25868.10075,35841.25259
Idaho Falls,ID,161,8,0,0,1,1,17395262.05,37427367.92,86294730.48,46313092.82,63879026,77267117.29,288106.5722,15382.25629,21312.71014
Nampa,ID,162,8,0,0,1,1,36455513.07,78437099.52,180849168.4,97059047.24,133872238.4,161929863.2,603789.2892,32236.82655,44665.36814
Pocatello,ID,163,8,0,0,1,1,16438331.7,35368451.87,81547573.12,43765364.38,60364978.43,73016577.74,272257.5484,14536.06336,20140.27715
Lewiston,ID--WA,164,8,9,0,2,0.5,9498661.484,20437168.3,47121131.63,25289207.48,34881063.72,42191614.53,157320.24,8399.462164,11637.77921
Bloomington--Normal,IL,165,3,0,0,1,1,36671551.9,78901925.21,181920897.7,97634228.37,134665578,162889475,516222.9516,43429.35262,40190.98612
Carbondale,IL,166,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Champaign,IL,167,3,0,0,1,1,31423379.01,67610040.25,155885666.7,83661508.79,115393193.8,139577886.5,442344.7773,37214.05112,34439.13672
Danville,IL,168,3,0,0,1,1,14674418.79,31573245.03,72797122.04,39069127.99,53887522.75,65181543.94,206570.7991,17378.60753,16082.74892
Decatur,IL,169,3,0,0,1,1,24422552.38,52547173.54,121155839.4,65022529.27,89684700.04,108481275.8,343794.6153,28923.11845,26766.42828
DeKalb,IL,170,3,0,0,1,1,14120283.72,30380976.88,70048158.8,37593800.49,51852623.36,62720159.99,198770.2773,16722.35695,15475.43253
Kankakee,IL,171,3,0,0,1,1,18308410.93,39392084.46,90824695.95,48744257.63,67232298.92,81323186.19,257726.2602,21682.26848,20065.50177
Peoria,IL,172,3,0,0,1,1,72913305.19,156879102.6,361709642.7,194124162.2,267752845.9,323869849.6,1026395.657,86349.70371,79910.92509
Rockford,IL,173,3,0,0,1,1,30108676.11,64781345.28,149363660.5,80161246.85,110565329.6,133738173.9,983653.5817,22305.79882,17400.21192
Springfield,IL,174,3,0,0,1,1,96200510.45,206983471.4,477233196.6,256123939.1,353268304.2,427308072.8,968174.8049,79105.52869,109600.8018
Chicago,IL--IN,175,3,0,0,1,1,2296426214,4940953954,11392152683,6113998175,8432955447,10200377155,32326636.23,2719609.578,2516818.332
Alton,IL--MO,176,3,4,0,2,1,0,0,0,0,0,0,0,0,0
Round Lake Beach--McHenry--Grayslake,IL--WI,177,3,0,0,1,1,4824092.71,10379440.81,23931446.34,12843649.77,17715073.38,21427888.59,67908.42624,5713.072191,5287.069489
Anderson,IN,178,3,0,0,1,1,36644828.01,78844422.71,181788312,97563075.84,134567438.2,162770766.6,368798.4507,30132.98453,41749.28503
Bloomington,IN,179,3,0,0,1,1,23090239.75,49680588.57,114546470.4,61475382.32,84792167.97,102563341.9,232383.2614,18987.06789,26306.60459
Columbus,IN,180,3,0,0,1,1,25250413.8,54328384.32,125262700.1,67226622.97,92724776.85,112158507.4,254123.542,20763.37562,28767.68101
Fort Wayne,IN,181,3,0,0,1,1,117228962.7,252227951.2,581551515.1,312110024.8,430489159.2,520713267.5,1179807.961,96397.19195,133558.4213
Indianapolis,IN,182,3,0,0,1,1,603560037.7,1298610072,2994151329,1606916363,2216398126,2680922122,6074308.952,496306.4713,687633.1918
Kokomo,IN,183,3,0,0,1,1,18071094.77,38881476.94,89647407.12,48112426.39,66360822.58,80269061.42,181869.915,14859.83286,20588.31566
Lafayette,IN,184,3,0,0,1,1,30117351.46,64800009.14,149406690.7,80184342.64,110597185.3,133776706.1,303105.0536,24765.45082,34312.56084
Muncie,IN,185,3,0,0,1,1,25706146.9,55308932.33,127523509,68439965.37,94398323.69,114182804.7,258710.1009,21138.12423,29286.89565
Terre Haute,IN,186,3,0,0,1,1,33139320.29,71302028.68,164398127.2,88230023.02,121694484,147199833.2,333518.5521,27250.41104,37755.47611
Evansville,IN--KY,187,3,6,0,2,0.5,80306459.22,172786086.4,398385705.7,213807666.6,294902038.8,356709108.5,808214.9473,66035.87532,91492.78187
Elkhart,IN--MI,188,3,0,0,1,1,167705840,360833195.2,831958125,446499510.5,615850769.3,744923906.9,3737641.354,254201.6576,269262.9369
Michigan City--La Porte,IN--MI,189,3,0,0,1,1,29094270.33,62598764.23,144331371.7,77460494.62,106840218.4,129232334.9,292808.6282,23924.17281,33146.96918
South Bend,IN--MI,190,3,0,0,1,1,0,0,0,0,0,0,0,0,0
Lawrence,KS,191,4,0,0,1,1,19923753.74,42867628.18,98838110.54,53044939.84,73164172.04,88498291.47,308166.0394,19964.42287,26590.2585
