OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE__Area,SHAPE__Length
13,5416,DUKE ENERGY CAROLINAS,DEC-43A/550 SOUTH TRYON STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,7,261865,19651,6839,8657,297312,20671,7067,139910064524.82,2555227.26425779
14,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.epelectric.com/,2016,7,16538,3121,5060,0,24719,1877,525,253437255034.836,4544634.08974317
15,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.ercot.com/,2016,8,984731,56728,52820,0,1099555,71109,25051,698096582275.357,10449400.7563314
16,5748,"ELECTRIC ENERGY, INC.",P O BOX 165,JOPPA,IL,62953,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,13150,334,1336,0,14820,0,0,2081856075.18359,202395.847702515
17,6452,FLORIDA POWER & LIGHT COMPANY,P O BOX 29100,MIAMI,FL,33102,(800) 375-2434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sec.gov/Archives/edgar/data/37634/000075330812000025/fplserviceterritorymap.jpg",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,www.fpl.com,2016,7,285800,30213,6336,0,322349,23725,7365,85882781166.4473,11606465.8584149
18,6455,PROGRESS ENERGY FLORIDA,P O BOX 14042,ST. PETERSBURG,FL,33733,(800) 700-8744,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.duke-energy.com/outages/current-outages",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.progress-energy.com/florida/home/index.page,2016,7,138342,4703,3819,0,120831,11186,3162,99117422017.9629,7457096.67017427
19,6909,GAINESVILLE REGIONAL UTILITIES,P O BOX 147117,GAINESVILLE,FL,32614,(352) 334-3434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.gru.com/,2016,8,6487,997,232,0,7752,429,0,3337223073.45898,316776.376158488
20,8795,CITY OF HOMESTEAD,675 N FLAGLER AVE,HOMESTEAD,FL,33030,(305) 224-4800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.cityofhomestead.com/index.aspx?nid=91,2016,7,42,18,348,0,1731,105,28,6338495426.32617,894650.290748829
21,9191,IDAHO POWER COMPANY,1221 W. IDAHO STREET,BOISE,ID,83702,(800) 488-6151,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.idahopower-com/aboutus/companyinformation/contactus-cfm,2016,6,29672,4767,1458,247,38913,3657,1177,440054013795.996,4318745.67030533
22,9216,IMPERIAL IRRIGATION DISTRICT,333 EAST BARIONI BOULEVARDP O,IMPERIAL,CA,92251,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.iid.com/,2016,6,6791,1111,774,0,8880,1060,0,59662676441.3672,1335032.32512491
23,9617,JEA,21 WEST CHURCH ST.,JACKSONVILLE,FL,32202,(904) 665-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.jea.com/outage_center/outage_map/",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.jea.com/,2016,7,41230,2167,398,53,43848,2763,560,13915829969.4531,1232987.56744144
24,11208,LOS ANGELES DEPARTMENT OF WATER AND POWER,P O BOX 51111,LOS ANGELES,CA,90051,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,6,77392,13488,6299,0,103551,6692,2164,56651334117.8398,2029181.32613176
25,11249,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,220 W MAIN SREET,LOUISVILLE,KY,40202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,7,101675,5646,4796,0,112117,7068,2635,118761459520.164,4425053.72960885
26,12825,NORTHWESTERN ENERGY (NWMT),40 E. BROADWAY,BUTTE,MT,59701,(888) 467-2669,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.northwesternenergy-com/contact-us,2016,12,22609,2464,2255,1481,32300,1808,884,721975368139.055,7400037.01541846
27,13407,NEVADA POWER COMPANY,6226 WEST SAHARA,LAS VEGAS,NV,89151,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.nvenergy.com/,2016,7,108505,2481,1799,0,112785,9059,2747,622033133780.996,4524425.29986011
28,13434,ISO NEW ENGLAND INC.,1 SULLIVAN RD,HOLYOKE,MA,01040,(413) 535-4000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.iso-ne.com/,2016,8,353965,15919,17224,0,417258,25596,8851,247446207215.906,9854204.90117587
29,13485,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",200 CANAL ST.,NEW SMYRNA BEACH,FL,32168,(386) 427-1361,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-11-09T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.ucnsb.net/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,4217909541.11914,815294.136194443
30,13501,NEW YORK INDEPENDENT SYSTEM OPERATOR,10 KREY BOULEVARD,RENSSELAER,NY,12144,(518) 356-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.nyiso.com/,2016,8,470676,-51246,-9152,0,410278,32075,12023,239452036325.801,6194761.30772323
31,14015,OHIO VALLEY ELECTRIC CORPORATION,3932 U.S. ROUTE 23,PIKETON,OH,45661,(740) 289-7200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.ovec.com/,2016,1,20984,3040,1431,1211,26666,98,0,5699772644.69531,403755.727245051
32,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.pacificorp.com/,2016,12,70284,5064,6561,314,82223,3700,1454,476437729255.27,8253391.60991038
33,14379,PACIFICORP - EAST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.pacificorp.com/,2016,7,121092,3601,5770,399,130862,8628,4201,1076833010556.27,9862015.08947862
34,14412,"GILA RIVER POWER, LLC",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,5,0,0,0,0,0,0,0,6121399451.17969,384126.895281255
35,14610,FLORIDA MUNICIPAL POWER POOL,P O BOX 3193,ORLANDO,FL,32802,(407) 423-9018,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://outagemap.ouc.com/external/default.html",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.ouc.com/,2016,7,46180,7448,615,0,55393,3549,1077,24072420041.7188,2536242.95439617
36,14624,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",P O BOX 878,EPHRATA,WA,98823,(509) 754-0500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.grantpud-org/,2016,8,21225,3539,597,0,25361,779,373,63323476844.875,1554363.45277599
37,14725,"PJM INTERCONNECTION, LLC",2750 MONROE BOULEVARD,AUDUBON,PA,19403,(610) 666-8980,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.pjm.com/,2016,8,1825685,184828,87078,0,2113887,152170,57750,1080083086884.57,23102697.4979287
38,15248,PORTLAND GENERAL ELECTRIC COMPANY,121 SW  SALMON STREET,PORTLAND,OR,97204,(503) 464-8000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.portlandgeneral-com/default-aspx,2016,12,32974,7174,1154,0,41302,3713,1488,33542093152.2578,1068727.67938687
39,15466,PUBLIC SERVICE COMPANY OF COLORADO,1800 LARIMER STREET,DENVER,CO,80202,(800) 895-4999,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.xcelenergy-com/,2016,8,77677,4897,5330,0,87904,7980,3036,456779096921.164,4749119.01948165
40,15473,PUBLIC SERVICE COMPANY OF NEW MEXICO,MS 2730414 SILVER S.W. AS-7,ALBUQUERQUE,NM,87102,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.pnmresources.com/about-us.aspx,2016,7,34639,2343,3006,0,36243,2608,1199,587143959730.758,4808383.45646551
41,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://pse.com/Pages/default-aspx,2016,12,39958,3046,857,1448,55165,4574,1737,65983732848.0313,4144441.48324919
42,16534,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,6201 S STREET,SACRAMENTO,CA,95817,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,7,43244,6183,246,3380,53053,4426,2183,54696687975.2734,2338154.31336401
43,16572,SALT RIVER PROJECT,P O BOX 52025,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,6,72221,6286,4009,368,142074,6954,2049,72165314906.1367,1583462.62181229
44,16868,SEATTLE CITY LIGHT,700 FIFTH AVENUE,SEATTLE,WA,98124,(800) 862-1181,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.seattle-gov/,2016,12,18635,3342,342,0,31347,1783,775,12443064198.6406,721317.852778352
45,17539,SOUTH CAROLINA ELECTRIC & GAS COMPANY,100 SCANA PARKWAY,CAYCE,SC,29033,(800) 251-7234,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sceg.com/outages-emergencies/power-outages/outage-map",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.sceg.com/,2016,7,61243,7937,2795,149,72366,4807,1355,47854268155.7559,2374000.075348
46,17543,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,ONE RIVERWOOD DRIVE,MONCKS CORNER,SC,29461,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,1,58980,-5995,-205,0,61072,4794,941,97813969190.3418,2709884.96039458
47,17716,SOUTHWESTERN POWER ADMINISTRATION,14165 EAST 143RD STREET SOUTH,GORE,OR,74435,(918) 489-5582,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.swpa.gov/,2016,8,21338,2933,2369,0,26640,132,10,2462086876.83594,612397.082505142
48,18195,"SOUTHERN COMPANY SERVICES, INC. - TRANS",30 IVAN ALLEN JR. BLVD. NW,ATLANTA,GA,30308,(404) 506-5000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.southerncompany.com/,2016,7,730737,-41221,-22171,-565,660796,45488,-999999,462514072067.166,7634063.33311452
49,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,12,9022,956,0,32,15703,912,351,40872454899.3672,2294617.77923858
50,18445,CITY OF TALLAHASSEE,400 E  VAN BUREN STREET,TALLAHASSEE,FL,32301,(850) 891-4968,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.talgov.com/you/YourOwnUtilitiesHome.aspx,2016,8,7596,1010,690,36,9332,597,0,457073054.607422,374715.67693038
51,18454,TAMPA ELECTRIC COMPANY,702 NORTH FRANKLIN STREET,TAMPA,FL,33602,(888) 223-0800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.tampaelectric.com/residential/outages/outagemap/",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.tampaelectric.com/,2016,7,48952,5016,6118,0,60086,4101,1137,5614606252.02539,1055661.94829995
52,18642,TENNESSEE VALLEY AUTHORITY,400 W. SUMMIT HILL DR,KNOXVILLE,TN,37902,(865) 632-2101,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.tva.gov/,2016,1,379628,49063,18605,0,453113,29824,11153,302040809384.965,6934539.39877562
53,19281,TURLOCK IRRIGATION DISTRICT,333 EAST CANAL DRIVE,TURLOCK,CA,95380,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,NOT AVAILABLE,2016,7,7158,620,178,0,8736,619,186,23856947564.9922,1192200.52425173
54,19547,HAWAIIAN ELECTRIC CO INC,900 RICHARDS STREET,HONOLULU,HI,96813,(808) 548-7311,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.hawaiianelectric.com/,2016,8,16755,2315,1558,1356,21984,1229,530,1872931489.12891,286937.532348097
55,19610,WESTERN AREA POWER ADMINISTRATION UGP WEST,P O BOX 35800,BILLINGS,MT,59107,(406) 255-2800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,https://www.wapa.gov/,2016,7,32753,3993,0,0,36746,1363,503,1429930191909.3,15899661.8938377
56,20169,AVISTA CORPORATION,1411 EAST MISSION AVENUE,SPOKANE,WA,99220,(509) 489-0500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2017-08-28T00:00:00.000Z,OTHER,2018-06-04T00:00:00.000Z,http://www.avistacorp.com/ContactUs/Pages/ContactUs.aspx,2016,12,27943,1614,502,0,28843,2273,961,248764948713.078,3479974.66780525
